z_index,z_obs,tage_gyr,mag_u,mag_b,mag_v,mag_sdss_g,mag_sdss_r
1,0.010102,4.195968,41.075317,39.839831,39.102724,39.534788,38.851464
1,0.010102,4.300867,41.104199,39.865211,39.124967,39.558831,38.872627
1,0.010102,4.405766,41.133147,39.890564,39.147122,39.582819,38.893685
1,0.010102,4.510666,41.160175,39.914471,39.168246,39.605545,38.913827
1,0.010102,4.615565,41.184426,39.936329,39.187949,39.626505,38.932721
1,0.010102,4.720464,41.208668,39.958130,39.207561,39.647393,38.951514
1,0.010102,4.825363,41.232912,39.979884,39.227091,39.668218,38.970214
1,0.010102,4.930262,41.257171,40.001601,39.246547,39.688989,38.988829
1,0.010102,5.035161,41.281003,40.022836,39.265544,39.709285,39.007000
1,0.010102,5.140061,41.303259,40.042443,39.283093,39.728019,39.023802
1,0.010102,5.244960,41.325516,40.062004,39.300568,39.746693,39.040521
1,0.010102,5.349859,41.347785,40.081525,39.317973,39.765314,39.057162
1,0.010102,5.454758,41.370074,40.101015,39.335316,39.783890,39.073732
1,0.010102,5.559657,41.392392,40.120479,39.352602,39.802425,39.090236
1,0.010102,5.664557,41.414898,40.139848,39.369566,39.820774,39.106333
1,0.010102,5.769456,41.437691,40.159086,39.386056,39.838853,39.121833
1,0.010102,5.874355,41.460548,40.178314,39.402497,39.856904,39.137273
1,0.010102,5.979254,41.483479,40.197540,39.418893,39.874933,39.152656
1,0.010102,6.084153,41.506494,40.216768,39.435249,39.892944,39.167986
1,0.010102,6.189052,41.529600,40.236006,39.451569,39.910944,39.183269
1,0.010102,6.293952,41.552808,40.255259,39.467858,39.928937,39.198507
1,0.010102,6.398851,41.573092,40.271809,39.481821,39.944384,39.211569
1,0.010102,6.503750,41.592887,40.287861,39.495332,39.959351,39.224200
1,0.010102,6.608649,41.612725,40.303891,39.508793,39.974281,39.236773
1,0.010102,6.713548,41.632610,40.319903,39.522206,39.989180,39.249292
1,0.010102,6.818447,41.652549,40.335901,39.535576,40.004051,39.261760
1,0.010102,6.923347,41.672549,40.351889,39.548904,40.018896,39.274179
1,0.010102,7.028246,41.692614,40.367870,39.562194,40.033719,39.286551
1,0.010102,7.133145,41.712430,40.384458,39.576687,40.049419,39.300274
1,0.010102,7.238044,41.732007,40.401643,39.592349,40.065976,39.315307
1,0.010102,7.342943,41.751653,40.418852,39.608011,40.082545,39.330330
1,0.010102,7.447842,41.771376,40.436088,39.623675,40.099131,39.345346
1,0.010102,7.552742,41.791179,40.453355,39.639344,40.115737,39.360358
1,0.010102,7.657641,41.811070,40.470657,39.655022,40.132366,39.375369
1,0.010102,7.762540,41.831054,40.487998,39.670712,40.149022,39.390382
1,0.010102,7.867439,41.851137,40.505382,39.686416,40.165709,39.405400
1,0.010102,7.972338,41.870359,40.521681,39.700911,40.181256,39.419176
1,0.010102,8.077238,41.887127,40.535032,39.712188,40.193740,39.429672
